BEGIN;
BEGIN
select
	nation,
	o_year,
	sum(amount) as sum_profit
from
	(
		select
			n_name as nation,
			extract(year from o_orderdate) as o_year,
			l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount
		from
			part,
			supplier,
			lineitem,
			partsupp,
			orders,
			nation
		where
			s_suppkey = l_suppkey
			and ps_suppkey = l_suppkey
			and ps_partkey = l_partkey
			and p_partkey = l_partkey
			and o_orderkey = l_orderkey
			and s_nationkey = n_nationkey
			and p_name like '%turquoise%'
	) as profit
group by
	nation,
	o_year
order by
	nation,
	o_year desc;
          nation           | o_year |    sum_profit    
---------------------------+--------+------------------
 ALGERIA                   |   1998 | 260622651.556123
 ALGERIA                   |   1997 | 456012813.526979
 ALGERIA                   |   1996 |  452738540.40872
 ALGERIA                   |   1995 | 445531446.509862
 ALGERIA                   |   1994 |  453183235.31452
 ALGERIA                   |   1993 | 442293687.135663
 ALGERIA                   |   1992 | 448605566.301154
 ARGENTINA                 |   1998 | 267227868.481457
 ARGENTINA                 |   1997 | 459742124.413194
 ARGENTINA                 |   1996 | 469183749.061744
 ARGENTINA                 |   1995 | 474244546.104778
 ARGENTINA                 |   1994 | 467829756.692943
 ARGENTINA                 |   1993 | 461272555.271918
 ARGENTINA                 |   1992 | 465117592.932943
 BRAZIL                    |   1998 | 266267962.320046
 BRAZIL                    |   1997 | 464159481.612903
 BRAZIL                    |   1996 | 466337304.798709
 BRAZIL                    |   1995 | 460615703.450588
 BRAZIL                    |   1994 | 462135753.500002
 BRAZIL                    |   1993 | 455632409.574623
 BRAZIL                    |   1992 | 466695004.909625
 CANADA                    |   1998 | 278745031.736602
 CANADA                    |   1997 | 482087351.948274
 CANADA                    |   1996 | 485904126.457137
 CANADA                    |   1995 | 480904785.984626
 CANADA                    |   1994 | 484469470.324496
 CANADA                    |   1993 | 486525663.779366
 CANADA                    |   1992 | 489525801.310007
 CHINA                     |   1998 | 269481125.866315
 CHINA                     |   1997 | 444599248.692143
 CHINA                     |   1996 | 450775875.062084
 CHINA                     |   1995 | 448949454.487558
